ID_ESTACION,NOMBRE,ALTITUD,PROVINCIA,LATITUD,LONGITUD
0002I,"VANDELLÒS  ",32,34,40.9580555555,0.8713888888
0016A,"REUS AEROPUERTO",71,34,41.1449999999,1.1636111111
0076,"BARCELONA AEROPUERTO",4,50,41.2927777777,2.0699999999
0149X,MANRESA,291,50,41.7200000000,1.8402777777
0200E,"BARCELONA FABRA",408,50,41.4183333333,2.1241666666
0201D,BARCELONA,6,50,41.3905555555,2.2000000000
0229I,"SABADELL AEROPUERTO",146,50,41.5236111111,2.1030555555
0252D,"ARENYS DE MAR",74,50,41.5875000000,2.5399999999
0255B,"SANTA SUSANNA",40,50,41.6508333333,2.6969444444
0324A,RIPOLL,675,52,42.1913888888,2.1961111111
0367,"GIRONA AEROPUERTO",143,52,41.9116666666,2.7633333333
0370B,"GIRONA - ANTIC INSTITUT",95,52,41.9800000000,2.8252777777
0372C,PORQUERES,157,52,42.1044444444,2.7636111111
1002Y,"BAZTAN - IRURITA ",183,5,43.1358333333,1.5430555555
1014,"HONDARRIBIA - MALKARROA",4,28,43.3569444444,1.7922222222
1014A,"SAN SEBASTIÁN AEROPUERTO",4,28,43.3569444444,1.7922222222
1024E,"DONOSTIA/SAN SEBASTIÁN - IGUELDO",251,28,43.3063888888,2.0411111111
1037Y,ZUMARRAGA,420,28,43.0799999999,2.3174999999
1041A,ZUMAIA,28,28,43.3022222222,2.2511111111
1050J,ELGOIBAR,119,28,43.2094444444,2.4133333333
1055B,LEKEITIO,12,4,43.3769444444,2.5102777777
1057B,MACHICHACO,93,4,43.4538888888,2.7527777777
1059X,"PUNTA GALEA",90,4,43.3749999999,3.0216666666
1078I,GÜEÑES,208,4,43.2033333333,3.1047222222
1082,"BILBAO AEROPUERTO",42,4,43.2980555555,2.9063888888
1083L,"CASTRO URDIALES",45,35,43.3947222222,3.2338888888
1109,"SANTANDER AEROPUERTO",3,35,43.4238888888,3.8255555555
1110,"SANTANDER - CIUDAD",64,35,43.4650000000,3.8188888888
1111,SANTANDER,52,35,43.4911111111,3.8005555555
1111X,SANTANDER,52,35,43.4911111111,3.8005555555
1159,"SAN VICENTE DE LA BARQUERA",38,35,43.3933333333,4.3922222222
1183X,LLANES,10,30,43.4202777777,4.7480555555
1207U,"GIJÓN - CAMPUS",26,30,43.5230555555,5.6211111111
1208,GIJÓN,3,30,43.5388888888,5.6374999999
1208A,"GIJÓN. LA MERCED",22,30,43.5416666666,5.6619444444
1208H,"GIJÓN - PUERTO",5,30,43.5600000000,5.7008333333
1210X,"CABO PEÑAS",100,30,43.6558333333,5.8486111111
1212E,"ASTURIAS AEROPUERTO",127,30,43.5669444444,6.0441666666
1221D,PAJARES-VALGRANDE,1480,30,42.9786111111,5.7763888888
1249I,OVIEDO,336,30,43.3533333333,5.8741666666
1249X,OVIEDO,336,30,43.3533333333,5.8741666666
1283U,"CABO BUSTO",60,30,43.5691666666,6.4700000000
1331A,CASTROPOL,40,30,43.5247222222,7.0313888888
1351,"ESTACA DE BARES",80,49,43.7861111111,7.6847222222
1387,"A CORUÑA",58,49,43.3658333333,8.4213888888
1387E,"A CORUÑA AEROPUERTO",98,49,43.3069444444,8.3719444444
1393,"CABO VILAN",50,49,43.1605555555,9.2108333333
1400,FISTERRA,230,49,42.9247222222,9.2913888888
1428,"SANTIAGO DE COMPOSTELA AEROPUERTO",370,49,42.8880555555,8.4105555555
1437O,"MONTE IROITE",685,49,42.7205555555,8.9233333333
1473A,PADRÓN,100,49,42.7383333333,8.6272222222
1475X,"SANTIAGO DE COMPOSTELA",240,49,42.8761111111,8.5558333333
1484,"PONTEVEDRA - INSTITUTO",19,20,42.4305555555,8.6472222222
1484C,PONTEVEDRA,108,20,42.4383333333,8.6158333333
1495,"VIGO AEROPUERTO",261,20,42.2386111111,8.6238888888
1505,"LUGO AEROPUERTO",445,38,43.1113888888,7.4575000000
1542,"PUERTO DE LEITARIEGOS",1530,30,42.9941666666,6.4141666666
1549,PONFERRADA,534,24,42.5638888888,6.5999999999
1631E,"A POBRA DE TRIVES",840,44,42.3394444444,7.2824999999
1690A,OURENSE,143,44,42.3252777777,7.8597222222
1690B,"OURENSE - INSTITUTO",148,44,42.3322222222,7.8644444444
1700X,"CARBALLIÑO - O",400,44,42.4213888888,8.0924999999
1735X,"XINZO DE LIMIA",616,44,42.0791666666,7.7336111111
2030,SORIA,1082,15,41.7750000000,2.4830555555
2117D,"ARANDA DE DUERO",790,26,41.6658333333,3.7427777777
2150H,"LA PINILLA - ESTACIÓN DE ESQUÍ",1798,37,41.1919444444,3.4752777777
2235U,"CERVERA DE PISUERGA",1140,32,42.8705555555,4.5200000000
2298,"PALACIOS DE LA SIERRA",1080,26,41.9597222222,3.1316666666
