Nombre,Últ.,% Dif.,Máx.,Mín.,Volumen,Efectivo (miles €),Fecha,Hora
ACCIONA,102,-0.58,102.1,100.4,75981,7716.68,29/04/19,10:35:00
ACERINOX,9.34,0.09,9378,9296,95024,887.59,29/04/19,10:45:00
ACS,40.54,0.12,40.66,40.23,58956,2387.97,29/04/19,10:46:00
AENA,162.65,-0.06,163.15,161.8,9909,1611.86,29/04/19,10:44:00
AMADEUS,69.78,-0.94,70.32,69.7,80750,5645.77,29/04/19,10:47:00
ARCELORMIT.,19.5,0.41,19.64,19.43,156115,3054.77,29/04/19,10:47:00
BA.SABADELL,1.0105,-0.3,1026,1,7193356,7302.13,29/04/19,10:47:00
BA.SANTANDER,4.4695,1.05,4498,4.4055,31325190,139202.65,29/04/19,10:47:00
BANKIA,2421,2.28,2434,2.36,2291677,5521.48,29/04/19,10:46:00
BANKINTER,7102,0.62,7124,7024,265832,1882.81,29/04/19,10:47:00
BBVA,5.4,0.43,5434,5.38,2522976,13649.82,29/04/19,10:47:00
CAIXABANK,2876,1.3,2892,2.81,2501584,7170.06,29/04/19,10:47:00
CELLNEX,26.32,-1.53,26.67,26.25,48165,1271.93,29/04/19,10:47:00
CIE AUTOMOT.,25.02,-0.08,25.08,24.72,36492,908.99,29/04/19,10:47:00
ENAGAS,25.07,0.08,25.08,24.82,109651,2734.44,29/04/19,10:47:00
ENCE,4776,-4.58,4.96,4728,2348954,11230.82,29/04/19,10:46:00
ENDESA,22.07,-1.08,22.18,21.98,81356,1794.86,29/04/19,10:47:00
FERROVIAL,21.76,-0.37,21.82,21.66,98202,2133.23,29/04/19,10:45:00
GRIFOLS CL.A,24.58,0.29,24.66,24.54,40561,997.81,29/04/19,10:45:00
IAG,6296,1.78,6378,6.22,852622,5357.19,29/04/19,10:47:00
IBERDROLA,7.94,-1.29,8,7896,2794474,22159.95,29/04/19,10:47:00
INDITEX,26.38,-0.49,26.5,26.11,574463,15122.06,29/04/19,10:47:00
INDRA A,10.37,-0.77,10.41,10.37,46535,483.43,29/04/19,10:43:00
INM.COLONIAL,9.56,0.1,9575,9.4,79197,754.26,29/04/19,10:46:00
MAPFRE,2633,0.04,2641,2612,312149,822.31,29/04/19,10:47:00
MEDIASET,6.77,0.98,6774,6704,144631,976.33,29/04/19,10:47:00
MELIA HOTELS,8805,0.11,8835,8755,54583,480.49,29/04/19,10:45:00
MERLIN,12.05,0.92,12.18,11.98,139809,1681.38,29/04/19,10:45:00
NATURGY,24.99,-0.72,25.08,24.88,68230,1702.19,29/04/19,10:46:00
R.E.C.,18215,-0.68,18.22,18075,142366,2584.83,29/04/19,10:47:00
REPSOL,14.74,-0.03,14.78,14.61,813103,11976.85,29/04/19,10:46:00
SIEMENS GAME,15.67,-0.79,15775,15.58,149908,2350.66,29/04/19,10:46:00
TEC.REUNIDAS,26.3,-0.75,26.46,26.22,22363,588.59,29/04/19,10:45:00
TELEFONICA,7446,-0.23,7472,7.43,840349,6258.63,29/04/19,10:47:00
VISCOFAN,53.75,-0.46,54.05,53.65,11226,604.25,29/04/19,10:45:00
